solicitante_id,barrio,ingresos_mensuales_eur,historial_crediticio,importe_solicitado_eur,aprobado
S03,Barrio Norte (renta alta),2504,Bueno,8296,1
S10,Barrio Norte (renta alta),2383,Regular,3141,0
S02,Barrio Norte (renta alta),2705,Bueno,10550,1
S06,Barrio Norte (renta alta),2253,Bueno,8962,1
S18,Barrio Sur (renta baja),2376,Bueno,7434,0
S17,Barrio Sur (renta baja),2039,Bueno,11651,0
S14,Barrio Norte (renta alta),2274,Malo,11304,0
S24,Barrio Sur (renta baja),2653,Regular,4853,0
S19,Barrio Sur (renta baja),1828,Bueno,8868,0
S12,Barrio Norte (renta alta),2725,Regular,5308,1
S13,Barrio Norte (renta alta),2637,Regular,14628,1
S28,Barrio Sur (renta baja),2345,Malo,13563,0
S01,Barrio Norte (renta alta),2600,Bueno,12881,1
S27,Barrio Sur (renta baja),1594,Regular,14578,0
S07,Barrio Norte (renta alta),2621,Bueno,7552,1
S22,Barrio Sur (renta baja),2461,Bueno,12960,1
S25,Barrio Sur (renta baja),2610,Regular,9405,0
S11,Barrio Norte (renta alta),2771,Regular,4166,1
S21,Barrio Sur (renta baja),1850,Bueno,10410,0
S09,Barrio Norte (renta alta),2428,Bueno,14919,1
S15,Barrio Sur (renta baja),2539,Bueno,13582,0
S08,Barrio Norte (renta alta),3069,Bueno,5970,0
S20,Barrio Sur (renta baja),2060,Bueno,3044,0
S04,Barrio Norte (renta alta),2288,Bueno,9169,1
S23,Barrio Sur (renta baja),2068,Bueno,10964,1
S26,Barrio Sur (renta baja),2479,Regular,6211,1
S05,Barrio Norte (renta alta),2441,Bueno,6195,1
S16,Barrio Sur (renta baja),2814,Bueno,5407,1
