customer_id,genero,mayor_65,tiene_pareja,tiene_dependientes,antiguedad_meses,tipo_contrato,facturacion_electronica,metodo_pago,servicio_internet,seguridad_online,soporte_tecnico,streaming_tv,cargo_mensual,cargo_total,num_incidencias_soporte,churn
CU5000,Masculino,0,Sí,Sí,35,Dos años,Sí,Transferencia,Fibra óptica,Sí,No,Sí,49.71,1607.68,1,0
CU5001,Masculino,0,Sí,Sí,21,Dos años,Sí,Cheque electrónico,Sin internet,Sí,No,Sí,77.26,1568.4,1,0
CU5002,Masculino,0,No,Sí,52,Un año,Sí,Cheque electrónico,Fibra óptica,No,Sí,No,92.81,4625.8,1,0
CU5003,Femenino,1,Sí,No,37,Dos años,No,Transferencia,DSL,No,No,No,80.24,2790.49,0,0
CU5004,Femenino,0,No,No,65,Dos años,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,51.87,3485.55,2,0
CU5005,Femenino,0,Sí,Sí,54,Mes a mes,No,Cheque electrónico,Fibra óptica,No,No,No,70.83,3583.99,0,0
CU5006,Femenino,0,Sí,No,43,Un año,Sí,Cheque electrónico,Fibra óptica,No,No,Sí,57.8,2435.49,2,0
CU5007,Masculino,1,Sí,Sí,30,Mes a mes,Sí,Domiciliación bancaria,DSL,No,No,No,18.0,518.98,0,0
CU5008,Masculino,0,No,No,48,Un año,No,Domiciliación bancaria,Sin internet,No,No,No,59.05,2898.01,1,0
CU5009,Masculino,0,Sí,No,26,Mes a mes,No,Transferencia,Fibra óptica,Sí,Sí,Sí,53.5,1447.09,3,0
CU5010,Femenino,0,Sí,Sí,68,Mes a mes,No,Transferencia,Fibra óptica,No,No,Sí,87.27,5620.11,0,0
CU5011,Masculino,0,Sí,No,43,Un año,No,Domiciliación bancaria,Sin internet,No,No,No,34.09,1357.03,3,0
CU5012,Masculino,1,Sí,No,54,Mes a mes,No,Cheque electrónico,DSL,Sí,No,Sí,37.32,2036.06,1,0
CU5013,Femenino,0,No,No,15,Mes a mes,Sí,Cheque electrónico,Fibra óptica,No,Sí,Sí,94.6,1452.49,2,1
