transaccion_id,hora_dia,importe,categoria_comercio,pais_distinto_habitual,dispositivo_nuevo,num_transacciones_24h,antiguedad_cuenta_dias,es_fraude
TX900000,13,11.8,Restauración,1,0,1,1604,0
TX900001,20,48.49,Suscripciones,0,0,1,1393,0
TX900002,12,34.3,Restauración,0,0,2,1761,0
TX900003,2,43.22,Electrónica,0,1,1,1446,1
TX900004,22,12.63,Ropa,0,0,3,2220,0
TX900005,17,4.59,Electrónica,0,0,2,1640,0
TX900006,22,89.15,Restauración,0,0,1,304,0
TX900007,18,83.51,Alimentación,0,0,0,1773,0
TX900008,23,18.47,Retirada de efectivo,0,0,3,949,0
TX900009,23,3.18,Viajes,0,0,1,2434,0
TX900010,12,6.59,Viajes,1,0,3,1801,0
TX900011,4,45.9,Electrónica,0,0,1,471,0
TX900012,18,22.95,Viajes,0,1,0,511,0
TX900013,23,11.25,Retirada de efectivo,0,0,3,2106,0
TX900014,21,18.92,Electrónica,1,0,3,1401,1
TX900015,18,13.49,Ropa,0,1,1,526,0
TX900016,20,140.61,Viajes,0,0,0,277,0
TX900017,22,2.88,Retirada de efectivo,0,0,3,1959,0
TX900018,17,53.85,Electrónica,0,0,7,127,0
TX900019,4,17.92,Alimentación,0,0,2,535,0
TX900020,21,39.93,Viajes,0,0,2,640,0
TX900021,19,22.66,Ropa,0,0,1,2119,0
TX900022,14,50.03,Ropa,0,0,1,2546,0
TX900023,20,54.33,Alimentación,0,1,5,2258,0
TX900024,11,5.54,Electrónica,0,0,3,425,0
TX900025,1,30.51,Alimentación,0,0,1,2491,0
TX900026,8,10.3,Restauración,0,0,0,529,0
TX900027,6,3.32,Viajes,0,0,1,2198,0
TX900028,8,73.2,Alimentación,0,0,2,405,0
TX900029,11,177.86,Restauración,0,0,4,1069,0
TX900030,3,20.12,Retirada de efectivo,1,0,0,1324,0
TX900031,22,7.18,Retirada de efectivo,0,1,2,299,0
TX900032,18,74.42,Ropa,0,0,5,621,0
TX900033,8,8.13,Suscripciones,0,0,1,334,0
TX900034,16,3.72,Retirada de efectivo,0,0,1,2421,0
TX900035,16,6.54,Ropa,0,0,1,2522,0
TX900036,1,255.46,Suscripciones,0,0,0,704,0
TX900037,9,94.7,Electrónica,0,0,2,2523,0
TX900038,15,63.48,Viajes,0,0,0,2464,0
TX900039,15,15.26,Viajes,0,0,3,1048,0
TX900040,16,5.38,Electrónica,0,0,1,2231,0
TX900041,12,13.13,Retirada de efectivo,0,0,4,1903,0
TX900042,3,30.16,Viajes,0,1,3,204,0
TX900043,3,144.25,Retirada de efectivo,0,0,0,2279,0
TX900044,19,20.57,Ropa,0,0,0,770,0
TX900045,8,27.32,Viajes,1,0,4,1561,0
TX900046,17,7.2,Viajes,0,0,2,1046,0
TX900047,9,6.37,Suscripciones,0,1,1,633,0
TX900048,8,3.8,Electrónica,1,0,2,2133,0
TX900049,7,2.0,Restauración,1,0,3,526,0
TX900050,9,34.49,Suscripciones,0,1,2,162,0
TX900051,2,415.21,Restauración,0,0,2,1104,0
TX900052,14,108.89,Ropa,0,0,0,1885,0
TX900053,23,43.93,Viajes,0,0,0,1043,0
TX900054,12,66.33,Suscripciones,1,0,1,355,0
TX900055,8,28.09,Ropa,0,1,2,1086,0
TX900056,7,46.59,Retirada de efectivo,0,0,4,112,0
TX900057,12,61.94,Suscripciones,0,0,2,1579,0
TX900058,16,25.88,Suscripciones,0,0,2,2010,0
TX900059,14,2.94,Alimentación,0,0,0,481,0
TX900060,19,73.88,Electrónica,0,0,1,438,0
TX900061,17,10.58,Alimentación,1,0,4,1301,0
TX900062,3,10.28,Suscripciones,0,0,1,1398,0
TX900063,11,17.92,Viajes,0,1,3,1890,0
TX900064,20,25.76,Restauración,0,0,0,1371,0
TX900065,12,66.27,Ropa,0,0,2,2598,0
TX900066,18,105.51,Alimentación,0,0,4,114,0
TX900067,1,37.5,Suscripciones,0,0,2,1085,0
TX900068,4,62.76,Suscripciones,0,0,2,2253,0
TX900069,4,25.71,Viajes,0,1,1,2521,0
TX900070,2,8.13,Electrónica,0,0,3,980,0
